id,name,store_group_id,address,tel,open_time,close_time,appearance_img,store_url,map_url
1,ライフ　エクストラ　東五反田店,3,東京都品川区東五反田2丁目19－6,0354208851,9:30,0:00,http://www.img-asp.jp/spot/2957276_1_418_276_3.jpg?t=1510724556,http://www.lifecorp.jp/store/syuto/612.html,https://goo.gl/maps/piMmgDQFpX51TxCh7
2,成城石井 アトレ五反田1店,1,東京都品川区東五反田1丁目26－14,0357596750,7:00,23:00,https://town.mec-h.com/mh-shirokanedai/wp-content/uploads/2012/10/101345_20-01higashigotanda.jpg,https://www.seijoishii.co.jp/shop/details/27,https://goo.gl/maps/KJVQ4nV5Wfhv6zoZ8
3,東急ストア　五反田店,2,東京都品川区東五反田2-1-2,03-3447-0109,9:00,1:00,https://www.img-asp.jp/spot/2144768_1_418_276_3.jpg?t=1547949404,https://www.tokyu-store.co.jp/shop/detail.html?pdid=12,https://goo.gl/maps/Y3Kx3YDavC72
